"","output"
"1","tf-idf for Get is 4.52178857704904"
"2","tf-idf for your is 1.43074612369072"
"3","tf-idf for chance is 3.13549421592915"
"4","tf-idf for win is 2.57587842799373"
"5","tf-idf for Dave is 3.8286413964891"
"6","tf-idf for Ramsey is 3.8286413964891"
"7","tf-idf for Total is 3.42317628838093"
"8","tf-idf for Money is 3.42317628838093"
"9","tf-idf for Makeover is 3.42317628838093"
"10","tf-idf for kit is 4.52178857704904"
"11","tf-idf for + is 3.42317628838093"
"12","tf-idf for $1,000! is 3.8286413964891"
"13","tf-idf for Enter is 3.42317628838093"
"14","tf-idf for 2/26 is 3.8286413964891"
"15","tf-idf for http://t.co/JF61rRBSO5. is 4.52178857704904"
"16","tf-idf for http://t.co/lPvNOq353x is 4.52178857704904"
"17","tf-idf for You is 0"
"18","tf-idf for could is 0"
"19","tf-idf for win is 0"
"20","tf-idf for @DaveRamsey is 0"
"21","tf-idf for Total is 0"
"22","tf-idf for Money is 0"
"23","tf-idf for Makeover is 0"
"24","tf-idf for &amp; is 0"
"25","tf-idf for $1000! is 0"
"26","tf-idf for Enter is 0"
"27","tf-idf for 2/26 is 0"
"28","tf-idf for your is 0"
"29","tf-idf for chance is 0"
"30","tf-idf for #WinWithKasasa. is 0"
"31","tf-idf for Steps: is 0"
"32","tf-idf for http://t.co/28UMYzocfa is 0"
"33","tf-idf for You is 0"
"34","tf-idf for could is 0"
"35","tf-idf for win is 0"
"36","tf-idf for Total is 0"
"37","tf-idf for Money is 0"
"38","tf-idf for Makeover is 0"
"39","tf-idf for kit, is 0"
"40","tf-idf for trip is 0"
"41","tf-idf for see is 0"
"42","tf-idf for Dave is 0"
"43","tf-idf for Ramsey is 0"
"44","tf-idf for &amp; is 0"
"45","tf-idf for $1,000! is 0"
"46","tf-idf for Enter is 0"
"47","tf-idf for 2/26: is 0"
"48","tf-idf for http://t.co/JF61rRBSO5 is 0"
"49","tf-idf for http://t.co/ZV5IHG2WuR is 0"
"50","tf-idf for Can is 0"
"51","tf-idf for Luke is 0"
"52","tf-idf for Hancock is 0"
"53","tf-idf for collect is 0"
"54","tf-idf for his is 0"
"55","tf-idf for 3rd is 0"
"56","tf-idf for straight is 0"
"57","tf-idf for 20 is 0"
"58","tf-idf for point is 0"
"59","tf-idf for game is 0"
"60","tf-idf for L'ville is 0"
"61","tf-idf for vs is 0"
"62","tf-idf for Houston?Find is 0"
"63","tf-idf for out is 0"
"64","tf-idf for @7p is 0"
"65","tf-idf for ET is 0"
"66","tf-idf for http://t.co/Nbujkr3K4G is 0"
"67","tf-idf for http://t.co/0SZsKl0EBf is 0"
"68","tf-idf for Can is 0"
"69","tf-idf for Luke is 0"
"70","tf-idf for Hancock is 0"
"71","tf-idf for collect is 0"
"72","tf-idf for his is 0"
"73","tf-idf for 3rd is 0"
"74","tf-idf for straight is 0"
"75","tf-idf for 20 is 0"
"76","tf-idf for point is 0"
"77","tf-idf for game is 0"
"78","tf-idf for L'ville is 0"
"79","tf-idf for vs is 0"
"80","tf-idf for Houston?Find is 0"
"81","tf-idf for out is 0"
"82","tf-idf for @7p is 0"
"83","tf-idf for ET is 0"
"84","tf-idf for http://t.co/Nbujkr3K4G is 0"
"85","tf-idf for http://t.co/ChjOXM73A1 is 0"
"86","tf-idf for Don't is 0"
"87","tf-idf for miss is 0"
"88","tf-idf for our is 0"
"89","tf-idf for All is 0"
"90","tf-idf for Access is 0"
"91","tf-idf for Audio is 0"
"92","tf-idf for game is 0"
"93","tf-idf for between is 0"
"94","tf-idf for @NovaMBB is 0"
"95","tf-idf for &amp; is 0"
"96","tf-idf for @SetonHallMBB is 0"
"97","tf-idf for 7 is 0"
"98","tf-idf for PM is 0"
"99","tf-idf for ET. is 0"
"100","tf-idf for http://t.co/9tOiAUpbrl is 0"
"101","tf-idf for Fans is 0"
"102","tf-idf for can is 0"
"103","tf-idf for see is 0"
"104","tf-idf for where is 0"
"105","tf-idf for enjoy is 0"
"106","tf-idf for our is 0"
"107","tf-idf for @NovaMBB is 0"
"108","tf-idf for @SetonHallMBB is 0"
"109","tf-idf for All is 0"
"110","tf-idf for Access is 0"
"111","tf-idf for Audio is 0"
"112","tf-idf for game is 0"
"113","tf-idf for using is 0"
"114","tf-idf for our is 0"
"115","tf-idf for channel is 0"
"116","tf-idf for finder: is 0"
"117","tf-idf for http://t.co/PJuezKEwWQ is 0"
"118","tf-idf for Fans is 0"
"119","tf-idf for in is 0"
"120","tf-idf for @GoCards is 0"
"121","tf-idf for area is 0"
"122","tf-idf for can is 0"
"123","tf-idf for watch is 0"
"124","tf-idf for game is 0"
"125","tf-idf for on is 0"
"126","tf-idf for these is 0"
"127","tf-idf for channels: is 0"
"128","tf-idf for DIRECTV is 0"
"129","tf-idf for 221 is 0"
"130","tf-idf for Dish is 0"
"131","tf-idf for 158 is 0"
"132","tf-idf for AT&amp;T is 0"
"133","tf-idf for U-verse is 0"
"134","tf-idf for 1643 is 0"
"135","tf-idf for Time is 0"
"136","tf-idf for Warner is 0"
